id,title,text,tags,category,date,score,meta
27,Sample title 27,This is sample text for document 27. It discusses protein and inhibition.,data;AI,research,2020-01-27,50.39,"{""source"": ""pubmed"", ""citations"": 16}"
28,Sample title 28,This is sample text for document 28. It discusses protein and binding.,ML;drug,news,2021-04-13,25.78,"{""source"": ""internal"", ""citations"": 21}"
29,Sample title 29,This is sample text for document 29. It discusses kinase and binding.,analysis;AI;qsar,report,2022-06-12,91.66,"{""source"": ""internal"", ""citations"": 24}"
30,Sample title 30,This is sample text for document 30. It discusses enzyme and binding.,AI;data;drug,news,2020-08-16,92.34,"{""source"": ""internal"", ""citations"": 11}"
31,Sample title 31,This is sample text for document 31. It discusses protein and inhibition.,data;analysis,research,2021-09-18,56.86,"{""source"": ""arxiv"", ""citations"": 41}"
32,Sample title 32,This is sample text for document 32. It discusses kinase and activation.,ML;qsar,report,2022-03-08,29.25,"{""source"": ""internal"", ""citations"": 49}"
33,Sample title 33,This is sample text for document 33. It discusses protein and activation.,qsar;ML,report,2020-07-20,45.06,"{""source"": ""pubmed"", ""citations"": 18}"
34,Sample title 34,This is sample text for document 34. It discusses enzyme and inhibition.,biology;ML,news,2021-06-20,12.43,"{""source"": ""pubmed"", ""citations"": 17}"
35,Sample title 35,This is sample text for document 35. It discusses kinase and inhibition.,analysis;chemistry;AI,news,2022-02-15,2.03,"{""source"": ""pubmed"", ""citations"": 6}"
36,Sample title 36,This is sample text for document 36. It discusses protein and activation.,drug;data,news,2020-09-10,28.64,"{""source"": ""pubmed"", ""citations"": 22}"
37,Sample title 37,This is sample text for document 37. It discusses protein and binding.,ML;biology;AI,report,2021-11-12,22.33,"{""source"": ""pubmed"", ""citations"": 40}"
38,Sample title 38,This is sample text for document 38. It discusses protein and binding.,drug,news,2022-07-25,76.37,"{""source"": ""internal"", ""citations"": 37}"
39,Sample title 39,This is sample text for document 39. It discusses enzyme and binding.,AI,news,2020-12-12,51.12,"{""source"": ""pubmed"", ""citations"": 9}"
40,Sample title 40,This is sample text for document 40. It discusses enzyme and inhibition.,AI;analysis,news,2021-12-22,59.23,"{""source"": ""pubmed"", ""citations"": 48}"
41,Sample title 41,This is sample text for document 41. It discusses kinase and activation.,ML,news,2022-12-27,35.91,"{""source"": ""internal"", ""citations"": 34}"
42,Sample title 42,This is sample text for document 42. It discusses kinase and binding.,chemistry,research,2020-04-16,89.07,"{""source"": ""internal"", ""citations"": 29}"
43,Sample title 43,This is sample text for document 43. It discusses protein and binding.,drug;data,news,2021-03-23,3.31,"{""source"": ""arxiv"", ""citations"": 43}"
44,Sample title 44,This is sample text for document 44. It discusses kinase and binding.,qsar;drug;data,report,2022-09-04,89.6,"{""source"": ""internal"", ""citations"": 26}"
45,Sample title 45,This is sample text for document 45. It discusses kinase and inhibition.,chemistry;biology,report,2020-08-27,41.53,"{""source"": ""internal"", ""citations"": 47}"
46,Sample title 46,This is sample text for document 46. It discusses enzyme and activation.,analysis,report,2021-09-12,60.71,"{""source"": ""arxiv"", ""citations"": 42}"
47,Sample title 47,This is sample text for document 47. It discusses enzyme and activation.,qsar;ML,research,2022-12-22,9.1,"{""source"": ""internal"", ""citations"": 25}"
48,Sample title 48,This is sample text for document 48. It discusses enzyme and inhibition.,ML;data;chemistry,news,2020-05-02,81.68,"{""source"": ""arxiv"", ""citations"": 48}"
49,Sample title 49,This is sample text for document 49. It discusses enzyme and activation.,drug;AI;chemistry,research,2021-12-27,83.25,"{""source"": ""arxiv"", ""citations"": 28}"
50,Sample title 50,This is sample text for document 50. It discusses kinase and inhibition.,biology;chemistry;data,research,2022-04-23,7.61,"{""source"": ""internal"", ""citations"": 43}"
